route_id,service_id,trip_id
IC3138,1016,IC313810161
IC3139,1017,IC313910171
IC3140,1018,IC314010181
IC3144,141,IC31441411
IC3227,1019,IC322710191
IC3305,1020,IC330510201
IC3306,1021,IC330610211
IC3307,1022,IC330710221
IC3308,1023,IC330810231
IC3309,1024,IC330910241
IC3312,1025,IC331210251
IC3313,1026,IC331310261
IC3314,1027,IC331410271
IC3316,1028,IC331610281
IC3317,1029,IC331710291
IC3318,1030,IC331810301
IC3319,1031,IC331910311
IC3320,1032,IC332010321
IC3326,1033,IC332610331
IC3327,1034,IC332710341
IC3328,1035,IC332810351
IC3329,1036,IC332910361
IC3330,1037,IC333010371
IC3331,1038,IC333110381
IC3332,1039,IC333210391
IC3333,1040,IC333310401
IC3335,1041,IC333510411
IC3336,1042,IC333610421
IC3337,1043,IC333710431
IC3338,1044,IC333810441
IC3339,1045,IC333910451
IC3340,1046,IC334010461
IC3341,1047,IC334110471
IC3342,1048,IC334210481
IC3343,1049,IC334310491
IC3405,1050,IC340510501
IC3406,1051,IC340610511
IC3407,1052,IC340710521
IC3408,1053,IC340810531
IC3409,1054,IC340910541
IC3410,1055,IC341010551
IC3411,1056,IC341110561
IC3412,1057,IC341210571
IC3413,1058,IC341310581
IC3414,1059,IC341410591
IC3415,1060,IC341510601
IC3416,1061,IC341610611
IC3417,1062,IC341710621
IC3418,1063,IC341810631
IC3419,1064,IC341910641
IC3421,1065,IC342110651
IC3427,1066,IC342710661
IC3718,1067,IC371810671
IC3719,1068,IC371910681
IC3720,1069,IC372010691
IC3742,1070,IC374210701
IC3743,1071,IC374310711
IC3745,1072,IC374510721
IC3825,1073,IC382510731
IC3907,1074,IC390710741
IC3908,1075,IC390810751
IC3909,1076,IC390910761
IC3910,1077,IC391010771
IC3911,1078,IC391110781
IC3912,1079,IC391210791
IC3913,1080,IC391310801
IC3914,1081,IC391410811
IC3915,1082,IC391510821
IC3916,1083,IC391610831
IC3917,1084,IC391710841
IC3918,1085,IC391810851
IC3919,1086,IC391910861
IC3920,1087,IC392010871
IC3921,1088,IC392110881
IC3926,1089,IC392610891
IC3928,1090,IC392810901
IC3929,1091,IC392910911
IC3930,1092,IC393010921
IC3931,1093,IC393110931
IC3932,1094,IC393210941
IC3933,1095,IC393310951
IC3934,1096,IC393410961
IC3935,1097,IC393510971
IC3936,1098,IC393610981
IC3938,1099,IC393810991
IC3939,1100,IC393911001
IC3940,1101,IC394011011
IC3941,1102,IC394111021
IC4006,1103,IC400611031
IC4007,1104,IC400711041
IC4008,1105,IC400811051
IC4009,1106,IC400911061
IC4010,1107,IC401011071
IC4011,1108,IC401111081
IC4012,1109,IC401211091
IC4013,1110,IC401311101
IC4014,1111,IC401411111
IC4015,1112,IC401511121
IC4016,1113,IC401611131
IC4019,1114,IC401911141
IC4020,1115,IC402011151
IC4027,1116,IC402711161
IC4028,1117,IC402811171
IC4029,1118,IC402911181
IC4030,1119,IC403011191
IC4031,1120,IC403111201
IC4032,1121,IC403211211
IC4033,1122,IC403311221
IC4034,1123,IC403411231
IC4035,1124,IC403511241
IC4036,1125,IC403611251
IC4037,1126,IC403711261
IC4038,1127,IC403811271
IC4039,1128,IC403911281
IC4040,1129,IC404011291
IC4041,1130,IC404111301
IC4206,1131,IC420611311
IC4207,1132,IC420711321
IC4209,1133,IC420911331
IC4210,1134,IC421011341
IC4211,1135,IC421111351
IC4213,1136,IC421311361
IC4214,1137,IC421411371
IC4216,1138,IC421611381
IC4217,1139,IC421711391
IC4218,1140,IC421811401
IC4219,1141,IC421911411
